(1.95, -0.392, -2.435)
0.83283794, 0.007059271, -2.5109718, 1.3310785
0.8896522, 0.020332148, -2.6314533, 1.3442694
0.93043286, 0.027608667, -2.744997, 1.4668845
0.97645724, 0.011089377, -2.8512347, 0.98271966
1.0270449, -0.007776724, -2.9572558, 1.1356138
1.0792924, -0.022257907, -3.0559232, 1.3466678
1.122695, -0.032754872, -3.1248722, 1.1571989
1.1576835, -0.045913815, -3.177874, 0.9737259
1.2013448, -0.067920245, -3.2257228, 1.0606657
1.2538139, -0.09137802, -3.26912, 0.9524406
1.3121731, -0.110344864, -3.314048, 1.1673918
1.3591131, -0.1239544, -3.344404, 0.98751634
1.4171709, -0.14000645, -3.348073, 0.9386502
1.4331651, -0.15167461, -3.3656077, 1.0106003
1.436917, -0.16034281, -3.3863702, 0.98901534
1.4347785, -0.17139797, -3.4117637, 1.2651242
1.4394298, -0.1813197, -3.4311335, 1.3226843
1.4492615, -0.17774463, -3.4329872, 1.1371127
1.4558114, -0.17908187, -3.4208806, 1.0807518
1.4611245, -0.17868859, -3.3973467, 1.3223845
1.462397, -0.17457215, -3.3689322, 0.8948805
1.4957145, -0.16498815, -3.3196936, 0.79415023
1.4829013, -0.16312928, -3.2891183, 0.8085403
1.4627594, -0.1643839, -3.2536352, 0.6646399
1.4353142, -0.16485786, -3.2101831, 0.6337612
1.4109719, -0.16107462, -3.1661685, 0.64515334
1.3864928, -0.16138588, -3.122261, 0.60348225
1.3645605, -0.15246513, -3.0770147, 0.5794988
1.3413684, -0.14153889, -3.0335183, 0.5606119
1.3197509, -0.12838607, -3.0062575, 0.550419
1.3001276, -0.112735294, -3.00574, 0.57380277
1.2814426, -0.10171561, -3.0303333, 0.63466066
1.2646366, -0.09127068, -3.0781374, 0.6721347
1.2519866, -0.07550199, -3.1451786, 0.7311938
1.2453592, -0.058369443, -3.2033348, 0.7725652
1.2372416, -0.032963224, -3.2372892, 0.7938504
1.2300087, -0.0059552146, -3.254717, 0.81153816
1.2186626, 0.018814195, -3.2598972, 0.8511108
1.1970681, 0.03643436, -3.256635, 0.85590744
1.1663357, 0.05621764, -3.2474859, 0.8831886
1.1307825, 0.07574599, -3.233941, 0.9146668
1.0911788, 0.08891992, -3.215109, 0.9239603
1.0445135, 0.101044066, -3.193863, 0.94824356
0.9910108, 0.10663715, -3.1707473, 0.97882235
0.9391383, 0.10752188, -3.1494772, 0.96802986
0.8920525, 0.103571035, -3.1324842, 1.0921439
0.85745984, 0.09721583, -3.120212, 1.105035
0.8409476, 0.09285156, -3.1125362, 1.1218234
0.83731335, 0.09137328, -3.105678, 1.0903451
0.8393584, 0.0898061, -3.0987215, 1.0933431
0.84431994, 0.08797828, -3.092483, 1.066062
0.84994364, 0.087445244, -3.086975, 1.1323161
0.85320556, 0.08846262, -3.0826447, 1.096341
0.85487545, 0.091692686, -3.0781488, 1.0933431
0.85426843, 0.09612075, -3.07535, 1.1179261
0.8484475, 0.09700911, -3.074522, 1.1176263
0.8427847, 0.09226677, -3.0762591, 1.1122301
0.8387439, 0.08892671, -3.0775464, 1.1275195
0.8353157, 0.08832097, -3.0786407, 1.1335152
0.83404845, 0.08711669, -3.0782225, 1.1146283
0.834758, 0.08606102, -3.0769322, 1.0912446
0.83732283, 0.08455854, -3.0742967, 1.1014374
0.84015787, 0.08194434, -3.0725384, 1.1095319
0.8455573, 0.07636114, -3.0705602, 1.120924
0.8590205, 0.06213781, -3.066446, 0.96832967
0.8945321, 0.032573562, -3.0570416, 1.0019064
0.94996357, 0.0011688266, -3.0410624, 0.8915828
1.0078949, -0.025492202, -3.013491, 0.7072104
1.066791, -0.04310116, -2.974292, 0.67902994
1.1254619, -0.060774308, -2.9302397, 0.6400569
1.1801058, -0.07788168, -2.8904428, 0.6412561
1.2296412, -0.095374085, -2.8611615, 0.6244677
1.2788627, -0.112352476, -2.838898, 0.55101854
1.3160465, -0.13379766, -2.8052676, 0.629864
